NO2_t-1,NO2_t+1,NO2_t+2,NO2_t+3
2.5569727101397305e-05,2.371919222034856e-05,2.1280413837606225e-05,2.424725971650332e-05
2.7985955284748343e-05,2.1280413837606225e-05,2.424725971650332e-05,2.3543169721630296e-05
2.371919222034856e-05,2.424725971650332e-05,2.3543169721630296e-05,1.8390296291828337e-05
2.1280413837606225e-05,2.3543169721630296e-05,1.8390296291828337e-05,2.407123721778506e-05
2.424725971650332e-05,1.8390296291828337e-05,2.407123721778506e-05,2.3895214719066807e-05
2.3543169721630296e-05,2.407123721778506e-05,2.3895214719066807e-05,1.8313567958709125e-05
1.8390296291828337e-05,2.3895214719066807e-05,1.8313567958709125e-05,2.1093664327054284e-05
2.407123721778506e-05,1.8313567958709125e-05,2.1093664327054284e-05,1.88386369776102e-05
2.3895214719066807e-05,2.1093664327054284e-05,1.88386369776102e-05,2.3564132789033465e-05
1.8313567958709125e-05,1.88386369776102e-05,2.3564132789033465e-05,2.221891932852789e-05
2.1093664327054284e-05,2.3564132789033465e-05,2.221891932852789e-05,1.4526893573929556e-05
1.88386369776102e-05,2.221891932852789e-05,1.4526893573929556e-05,2.315038038129084e-05
2.3564132789033465e-05,1.4526893573929556e-05,2.315038038129084e-05,2.7660435080179013e-05
2.221891932852789e-05,2.315038038129084e-05,2.7660435080179013e-05,2.2684649854909368e-05
1.4526893573929556e-05,2.7660435080179013e-05,2.2684649854909368e-05,2.3921450823157407e-05
2.315038038129084e-05,2.2684649854909368e-05,2.3921450823157407e-05,1.1258318409090862e-05
2.7660435080179013e-05,2.3921450823157407e-05,1.1258318409090862e-05,2.1293454665283207e-05
2.2684649854909368e-05,1.1258318409090862e-05,2.1293454665283207e-05,1.7589884616124134e-05
2.3921450823157407e-05,2.1293454665283207e-05,1.7589884616124134e-05,2.795027326514669e-05
1.1258318409090862e-05,1.7589884616124134e-05,2.795027326514669e-05,1.846702462494755e-05
2.1293454665283207e-05,2.795027326514669e-05,1.846702462494755e-05,1.854375295806676e-05
1.7589884616124134e-05,1.846702462494755e-05,1.854375295806676e-05,3.025301703019068e-05
2.795027326514669e-05,1.854375295806676e-05,3.025301703019068e-05,2.1287458275764943e-05
1.846702462494755e-05,3.025301703019068e-05,2.1287458275764943e-05,2.1753188802146416e-05
